time gssi_420mhz
1.2524461840e-08 -8.19005750e-05
1.2622309198e-08 -7.59783513e-05
1.2720156556e-08 -7.04843433e-05
1.2818003914e-08 -6.53875735e-05
1.2915851272e-08 -6.06593250e-05
1.3013698630e-08 -5.62729683e-05
1.3111545988e-08 -5.22037993e-05
1.3209393346e-08 -4.84288915e-05
1.3307240705e-08 -4.49269665e-05
1.3405088063e-08 -4.16782773e-05
1.3502935421e-08 -3.86645030e-05
1.3600782779e-08 -3.58686505e-05
1.3698630137e-08 -3.32749602e-05
1.3796477495e-08 -3.08688161e-05
1.3894324853e-08 -2.86366608e-05
1.3992172211e-08 -2.65659165e-05
1.4090019569e-08 -2.46449131e-05
1.4187866928e-08 -2.28628222e-05
1.4285714286e-08 -2.12095970e-05
1.4383561644e-08 -1.96759174e-05
1.4481409002e-08 -1.82531377e-05
1.4579256360e-08 -1.69332387e-05
1.4677103718e-08 -1.57087816e-05
1.4774951076e-08 -1.45728658e-05
1.4872798434e-08 -1.35190897e-05
1.4970645793e-08 -1.25415137e-05
1.5068493151e-08 -1.16346276e-05
1.5166340509e-08 -1.07933193e-05
1.5264187867e-08 -1.00128465e-05
1.5362035225e-08 -9.28880996e-06
1.5459882583e-08 -8.61712871e-06
1.5557729941e-08 -7.99401709e-06
1.5655577299e-08 -7.41596319e-06
1.5753424658e-08 -6.87970896e-06
1.5851272016e-08 -6.38223187e-06
1.5949119374e-08 -5.92072784e-06
1.6046966732e-08 -5.49259555e-06
1.6144814090e-08 -5.09542178e-06
1.6242661448e-08 -4.72696788e-06
1.6340508806e-08 -4.38515710e-06
1.6438356164e-08 -4.06806290e-06
1.6536203523e-08 -3.77389804e-06
1.6634050881e-08 -3.50100451e-06
1.6731898239e-08 -3.24784416e-06
1.6829745597e-08 -3.01299005e-06
1.6927592955e-08 -2.79511842e-06
1.7025440313e-08 -2.59300124e-06
1.7123287671e-08 -2.40549930e-06
1.7221135029e-08 -2.23155576e-06
1.7318982387e-08 -2.07019021e-06
1.7416829746e-08 -1.92049313e-06
1.7514677104e-08 -1.78162077e-06
1.7612524462e-08 -1.65279039e-06
1.7710371820e-08 -1.53327584e-06
1.7808219178e-08 -1.42240347e-06
1.7906066536e-08 -1.31954837e-06
1.8003913894e-08 -1.22413080e-06
1.8101761252e-08 -1.13561294e-06
1.8199608611e-08 -1.05349588e-06
1.8297455969e-08 -9.77316772e-07
1.8395303327e-08 -9.06646234e-07
1.8493150685e-08 -8.41085939e-07
1.8590998043e-08 -7.80266361e-07
1.8688845401e-08 -7.23844694e-07
1.8786692759e-08 -6.71502920e-07
1.8884540117e-08 -6.22946020e-07
1.8982387476e-08 -5.77900307e-07
1.9080234834e-08 -5.36111885e-07
1.9178082192e-08 -4.97345216e-07
1.9275929550e-08 -4.61381796e-07
1.9373776908e-08 -4.28018919e-07
1.9471624266e-08 -3.97068538e-07
1.9569471624e-08 -3.68356202e-07
1.9667318982e-08 -3.41720078e-07
1.9765166341e-08 -3.17010033e-07
1.9863013699e-08 -2.94086790e-07
1.9960861057e-08 -2.72821145e-07
2.0058708415e-08 -2.53093235e-07
2.0156555773e-08 -2.34791866e-07
2.0254403131e-08 -2.17813884e-07
2.0352250489e-08 -2.02063592e-07
2.0450097847e-08 -1.87452216e-07
2.0547945205e-08 -1.73897400e-07
2.0645792564e-08 -1.61322744e-07
2.0743639922e-08 -1.49657370e-07
2.0841487280e-08 -1.38835529e-07
2.0939334638e-08 -1.28796224e-07
2.1037181996e-08 -1.19482868e-07
2.1135029354e-08 -1.10842969e-07
2.1232876712e-08 -1.02827828e-07
2.1330724070e-08 -9.53922673e-08
2.1428571429e-08 -8.84943781e-08
2.1526418787e-08 -8.20952807e-08
